Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-04-03,0.0,101.0,315.0,4,3,0,0,0.0,0.0,344.5,60.0,160.0,1495.75,266.0,760.0,776.0,1,0,0,0,0,0,0
2023-04-04,0.0,160.0,116.0,4,4,0,0,0.0,0.0,278.0,315.0,45.0,963.0,101.0,208.0,281.5,0,1,0,0,0,0,0
2023-04-05,0.0,474.0,277.0,4,5,0,0,0.0,0.0,235.0,116.0,257.0,950.0,160.0,545.75,173.0,0,0,1,0,0,0,0
2023-04-06,0.0,174.0,0.0,4,6,0,0,0.0,0.0,1004.0,277.0,75.0,332.0,474.0,467.0,327.5,0,0,0,1,0,0,0
2023-04-07,0.0,1259.0,120.0,4,7,1,0,0.0,0.0,371.0,0.0,147.0,1024.0,174.0,316.0,528.0,0,0,0,0,1,0,0
2023-04-08,0.0,425.0,354.0,4,8,1,0,0.0,0.0,252.0,120.0,0.0,96.0,1259.0,790.0,695.5,0,0,0,0,0,1,0
2023-04-09,0.0,856.5,19.0,4,9,0,0,0.0,0.0,290.0,354.0,60.0,286.5,425.0,266.0,231.0,0,0,0,0,0,0,1
2023-04-10,0.0,960.0,76.0,4,10,0,0,0.0,0.0,838.5,19.0,315.0,1321.0,856.5,101.0,734.0,1,0,0,0,0,0,0
2023-04-11,0.0,704.0,130.0,4,11,0,0,0.0,0.0,472.0,76.0,116.0,883.5,960.0,160.0,320.0,0,1,0,0,0,0,0
2023-04-12,0.0,751.5,75.0,4,12,0,0,0.0,0.0,318.0,130.0,277.0,115.5,704.0,474.0,1485.0,0,0,1,0,0,0,0
2023-04-13,0.0,1253.0,73.0,4,13,0,0,0.0,0.0,833.25,75.0,0.0,410.0,751.5,174.0,4742.0,0,0,0,1,0,0,0
2023-04-14,0.0,380.0,0.0,4,14,1,0,0.0,0.0,0.0,73.0,120.0,899.0,1253.0,1259.0,1140.0,0,0,0,0,1,0,0
2023-04-15,0.0,110.0,243.0,4,15,1,0,0.0,0.0,164.5,0.0,354.0,170.0,380.0,425.0,25005.0,0,0,0,0,0,1,0
2023-04-16,0.0,205.0,112.0,4,16,0,0,0.0,0.0,260.0,243.0,19.0,1164.5,110.0,856.5,400.0,0,0,0,0,0,0,1
2023-04-17,0.0,70.0,250.0,4,17,0,0,0.0,0.0,111.0,112.0,76.0,660.0,205.0,960.0,191.0,1,0,0,0,0,0,0
2023-04-18,0.0,213.0,0.0,4,18,0,0,0.0,0.0,81.0,250.0,130.0,254.0,70.0,704.0,114.0,0,1,0,0,0,0,0
2023-04-19,0.0,433.0,156.0,4,19,0,0,0.0,0.0,0.0,0.0,75.0,306.0,213.0,751.5,574.0,0,0,1,0,0,0,0
2023-04-20,0.0,874.0,135.0,4,20,0,1,0.0,0.0,0.0,156.0,73.0,0.0,433.0,1253.0,518.0,0,0,0,1,0,0,0
2023-04-21,322.5,250.0,342.5,4,21,1,1,0.0,0.0,65.0,135.0,0.0,149.0,874.0,380.0,1185.0,0,0,0,0,1,0,0
2023-04-22,235.5,673.0,331.0,4,22,1,1,322.5,0.0,0.0,342.5,243.0,0.0,250.0,110.0,471.0,0,0,0,0,0,1,0
2023-04-23,0.0,208.5,135.0,4,23,0,1,235.5,0.0,0.0,331.0,112.0,0.0,673.0,205.0,300.0,0,0,0,0,0,0,1
2023-04-24,41.0,706.0,913.0,4,24,0,0,0.0,0.0,0.0,135.0,250.0,0.0,208.5,70.0,0.0,1,0,0,0,0,0,0
2023-04-25,133.5,527.0,115.0,4,25,0,0,41.0,0.0,0.0,913.0,0.0,0.0,706.0,213.0,580.0,0,1,0,0,0,0,0
2023-04-26,0.0,0.0,371.0,4,26,0,0,133.5,0.0,0.0,115.0,156.0,160.0,527.0,433.0,760.0,0,0,1,0,0,0,0
2023-04-27,230.0,1201.5,115.0,4,27,0,0,0.0,0.0,0.0,371.0,135.0,45.0,0.0,874.0,208.0,0,0,0,1,0,0,0
2023-04-28,138.0,462.0,706.0,4,28,1,0,230.0,322.5,0.0,115.0,342.5,257.0,1201.5,250.0,545.75,0,0,0,0,1,0,0
2023-04-29,78.5,499.0,495.0,4,29,1,0,138.0,235.5,0.0,706.0,331.0,75.0,462.0,673.0,467.0,0,0,0,0,0,1,0
2023-04-30,210.0,329.0,802.0,4,30,0,0,78.5,0.0,0.0,495.0,135.0,147.0,499.0,208.5,316.0,0,0,0,0,0,0,1
2023-05-01,0.0,300.0,926.0,5,1,0,0,210.0,41.0,0.0,802.0,913.0,0.0,329.0,706.0,790.0,1,0,0,0,0,0,0
