Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-04-16,251.0,1929.5,140.0,4,16,6,0,0,2320.5,2002.0,2293.0,3169.0,580.0,101.0,1188.0,85.0,339.0,503.0,1337.0,1853.0,1478.0
2023-04-17,436.0,1175.0,599.0,4,17,0,0,0,2210.0,2320.5,5078.5,2801.0,251.0,857.0,590.0,140.0,1658.0,718.0,1929.5,2563.5,1493.0
2023-04-18,364.0,1843.5,234.0,4,18,1,0,0,2441.5,2210.0,1449.5,2201.0,436.0,114.0,629.0,599.0,970.0,365.0,1175.0,365.5,1207.0
2023-04-19,324.0,1780.0,415.0,4,19,2,0,0,2519.0,2441.5,1926.0,3790.0,364.0,248.0,356.0,234.0,579.0,252.0,1843.5,1099.0,3182.0
2023-04-20,753.0,3090.0,235.0,4,20,3,0,1,4078.0,2519.0,2476.0,2629.0,324.0,782.0,449.0,415.0,302.5,325.0,1780.0,1391.5,1855.0
2023-04-21,408.0,2223.0,204.0,4,21,4,1,1,2835.0,4078.0,1704.75,3665.0,753.0,557.0,244.0,235.0,711.75,1267.0,3090.0,436.0,2154.0
2023-04-22,544.0,3381.0,237.0,4,22,5,1,1,4162.0,2835.0,2002.0,3402.0,408.0,580.0,536.0,204.0,85.0,268.0,2223.0,1337.0,2598.0
2023-04-23,518.0,2107.0,597.0,4,23,6,0,1,3222.0,4162.0,2320.5,2234.0,544.0,251.0,344.0,237.0,140.0,310.0,3381.0,1929.5,1580.0
2023-04-24,1381.0,2465.0,995.0,4,24,0,0,0,4841.0,3222.0,2210.0,1794.0,518.0,436.0,100.0,597.0,599.0,375.0,2107.0,1175.0,1319.0
2023-04-25,1355.25,5089.0,523.0,4,25,1,0,0,6967.25,4841.0,2441.5,2517.0,1381.0,364.0,604.0,995.0,234.0,539.0,2465.0,1843.5,1374.0
2023-04-26,492.0,2940.0,740.0,4,26,2,0,0,4172.0,6967.25,2519.0,1764.0,1355.25,324.0,262.0,523.0,415.0,371.0,5089.0,1780.0,1131.0
2023-04-27,1340.0,4883.0,1345.0,4,27,3,0,0,7568.0,4172.0,4078.0,2625.0,492.0,753.0,519.0,740.0,235.0,339.0,2940.0,3090.0,1767.0
2023-04-28,1238.75,2828.0,264.0,4,28,4,1,0,4330.75,7568.0,2835.0,1243.0,1340.0,408.0,305.0,1345.0,204.0,190.0,4883.0,2223.0,748.0
2023-04-29,1059.5,2706.0,382.0,4,29,5,1,0,4147.5,4330.75,4162.0,1253.5,1238.75,544.0,92.0,264.0,237.0,0.0,2828.0,3381.0,1161.5
2023-04-30,649.0,3242.0,450.0,4,30,6,0,0,4341.0,4147.5,3222.0,2143.0,1059.5,518.0,160.0,382.0,597.0,341.0,2706.0,2107.0,1642.0
2023-05-01,497.0,1182.0,40.0,5,1,0,0,0,1719.0,4341.0,4841.0,886.0,649.0,1381.0,407.0,450.0,995.0,0.0,3242.0,2465.0,479.0
2023-05-02,247.9,2688.5,430.0,5,2,1,0,0,3366.4,1719.0,6967.25,2071.0,497.0,1355.25,297.0,40.0,523.0,390.0,1182.0,5089.0,1384.0
2023-05-03,477.9,1379.0,55.0,5,3,2,0,0,1911.9,3366.4,4172.0,2319.5,247.9,492.0,0.0,430.0,740.0,429.0,2688.5,2940.0,1890.5
2023-05-04,554.0,2907.0,639.0,5,4,3,0,0,4100.0,1911.9,7568.0,1768.0,477.9,1340.0,45.0,55.0,1345.0,499.0,1379.0,4883.0,1224.0
2023-05-05,337.0,2104.75,676.0,5,5,4,1,0,3117.75,4100.0,4330.75,3234.0,554.0,1238.75,266.0,639.0,264.0,1647.0,2907.0,2828.0,1321.0
2023-05-06,981.0,953.5,743.0,5,6,5,1,0,2677.5,3117.75,4147.5,3655.0,337.0,1059.5,1094.0,676.0,382.0,703.0,2104.75,2706.0,1858.0
2023-05-07,702.5,3071.0,108.0,5,7,6,0,0,3881.5,2677.5,4341.0,3965.5,981.0,649.0,554.0,743.0,450.0,1223.0,953.5,3242.0,2188.5
2023-05-08,1199.0,3662.5,316.0,5,8,0,0,0,5177.5,3881.5,1719.0,1655.0,702.5,497.0,414.0,108.0,40.0,605.0,3071.0,1182.0,636.0
2023-05-09,244.0,3249.0,899.0,5,9,1,0,0,4392.0,5177.5,3366.4,2293.0,1199.0,247.9,101.0,316.0,430.0,339.0,3662.5,2688.5,1853.0
2023-05-10,362.0,2664.5,420.0,5,10,2,0,0,3446.5,4392.0,1911.9,5078.5,244.0,477.9,857.0,899.0,55.0,1658.0,3249.0,1379.0,2563.5
2023-05-11,648.0,2341.0,626.0,5,11,3,0,0,3615.0,3446.5,4100.0,1449.5,362.0,554.0,114.0,420.0,639.0,970.0,2664.5,2907.0,365.5
2023-05-12,812.0,2505.0,353.0,5,12,4,1,0,3670.0,3615.0,3117.75,1926.0,648.0,337.0,248.0,626.0,676.0,579.0,2341.0,2104.75,1099.0
2023-05-13,303.0,2667.5,619.0,5,13,5,1,0,3589.5,3670.0,2677.5,2476.0,812.0,981.0,782.0,353.0,743.0,302.5,2505.0,953.5,1391.5
