Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6,BreakFast_lag_2d,BreakFast_lag_3d,BreakFast_lag_7d,BreakFast_lag_14d,BreakFast_lag_21d,BreakFast_lag_28d,BreakFast_roll_mean_3,BreakFast_roll_mean_7,BreakFast_roll_mean_14,BreakFast_roll_mean_30,BreakFast_roll_std_7,BreakFast_roll_std_30,BreakFast_ema_7,BreakFast_ema_30,Holiday_Yesterday,Holiday_LastWeek,RevenueCenterID
2023-03-06,0.0,10306.15,1022.0,3,6,0,0,0.0,80.0,0.0,740.0,720.0,1237.0,11364.6,9634.5,7786.75,1,0,0,0,0,0,0,348.0,1206.0,80.0,152.5,435.0,105.0,518.0,312.92857142857144,292.82142857142856,232.125,410.4229960836572,340.8769544283462,330.36832223381896,301.18692725045605,0.0,0.0,2
2023-03-06,15263.0,1909.0,1453.5,3,6,0,0,19031.0,16807.0,16846.0,250.0,1135.0,840.0,2532.0,2144.0,2917.0,1,0,0,0,0,0,0,19767.0,18402.0,16807.0,16477.0,17477.0,17862.0,19066.666666666668,18147.35714285714,17328.25,17474.15,1112.7902136179232,2839.5123887798904,18277.82434904757,17652.93346743945,0.0,0.0,4
2023-03-06,235.0,173.0,950.0,3,6,0,0,278.0,672.0,60.0,963.0,381.0,182.0,281.5,970.0,600.0,1,0,0,0,0,0,0,344.5,117.0,672.0,0.0,1228.0,477.0,246.5,332.6428571428572,245.42857142857144,289.56666666666666,209.59777238910772,247.82452542534784,271.47449905045903,247.16017542775708,0.0,0.0,5
2023-03-06,0.0,320.0,0.0,3,6,0,0,765.0,270.0,20.0,70.0,415.0,435.0,160.0,0.0,0.0,1,0,0,0,0,0,0,0.0,100.0,270.0,0.0,110.0,0.0,288.3333333333333,235.7142857142857,146.07142857142858,123.0,263.73011096302866,165.87074319564576,277.9238627071641,182.0150630740762,0.0,0.0,8
2023-03-07,486.0,3413.5,728.0,3,7,0,0,766.0,1214.0,886.4,385.0,523.0,569.5,2249.5,3393.5,1466.0,0,1,0,0,0,0,0,839.0,275.0,1214.0,1040.0,340.4,1751.4,626.6666666666666,571.0,803.45,954.3266666666666,438.4214106693848,505.3882706315552,641.6763137757738,819.6828659023156,0.0,0.0,0
2023-03-07,297.25,691.0,507.0,3,7,0,0,195.0,110.0,250.0,595.0,796.0,122.5,525.0,787.0,336.0,0,1,0,0,0,0,0,1780.0,263.0,110.0,91.0,621.0,393.0,746.0,590.0714285714286,594.6785714285714,535.55,576.1658057489057,363.1002841906218,651.686255332449,570.6325932660505,0.0,0.0,1
2023-03-07,0.0,12351.4,856.0,3,7,0,0,0.0,102.5,100.0,1022.0,972.75,829.0,10306.15,7039.2,15599.5,0,1,0,0,0,0,0,0.0,348.0,102.5,414.5,53.0,0.0,116.0,301.5,281.92857142857144,232.125,419.014021245113,340.8769544283462,247.77624167536425,281.75551258913634,0.0,0.0,2
2023-03-07,16855.0,2641.0,1586.0,3,7,0,0,15263.0,16958.5,16334.0,1453.5,1542.0,1896.0,1909.0,2916.0,17585.0,0,1,0,0,0,0,0,19031.0,19767.0,16958.5,16938.0,16850.0,18771.0,18020.33333333333,17926.785714285714,17241.535714285714,17421.383333333335,1506.220929377642,2866.171120343646,17524.11826178568,17498.744211475616,0.0,0.0,4
2023-03-07,1004.0,327.5,332.0,3,7,0,0,235.0,558.0,424.0,950.0,1062.0,340.0,173.0,1027.0,0.0,0,1,0,0,0,0,0,278.0,344.5,558.0,0.0,85.0,248.0,285.8333333333333,270.2142857142857,262.2142857142857,295.4,147.57875218078695,244.268697445506,262.35587428784424,246.375647980805,0.0,0.0,5
2023-03-07,225.0,135.0,0.0,3,7,0,0,0.0,0.0,0.0,0.0,570.0,20.0,320.0,0.0,0.0,0,1,0,0,0,0,0,765.0,0.0,0.0,0.0,155.0,185.0,255.0,197.14285714285717,146.07142857142858,122.33333333333331,277.27629335582014,166.33852754887076,208.4428970303731,170.27215577897454,0.0,0.0,8
