Date,RevenueCenterName,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-02-19,RevenueCenter_1,1505.0,4452.22,844.0,2,19,6,0,0,6801.22,6738.4,6232.0,2735.5,2197.4,997.0,874.0,1026.0,1196.0,524.0,3515.0,4039.0,1337.5
2023-02-20,RevenueCenter_1,578.0,2629.0,908.0,2,20,0,0,0,4115.0,6801.22,4956.0,4044.0,1505.0,924.0,674.0,844.0,282.0,1677.0,4452.22,3750.0,1693.0
2023-02-21,RevenueCenter_1,1040.0,3025.5,965.0,2,21,1,0,0,5030.5,4115.0,5022.4,4164.0,578.0,340.4,1131.0,908.0,526.0,889.0,2629.0,4156.0,2144.0
2023-02-22,RevenueCenter_1,1319.0,2569.0,785.0,2,22,2,0,0,4673.0,5030.5,4179.0,5341.5,1040.0,432.0,208.0,965.0,1566.0,895.5,3025.5,2181.0,4238.0
2023-02-23,RevenueCenter_1,766.0,2853.0,259.0,2,23,3,0,0,3878.0,4673.0,6072.5,2842.0,1319.0,1215.0,374.0,785.0,1259.0,674.0,2569.0,3598.5,1794.0
2023-02-24,RevenueCenter_1,873.0,2830.0,1012.0,2,24,4,1,0,4715.0,3878.0,4889.5,3664.5,766.0,1749.5,652.0,259.0,689.0,371.0,2853.0,2451.0,2641.5
2023-02-25,RevenueCenter_1,798.0,4164.0,1087.0,2,25,5,1,0,6049.0,4715.0,6738.4,4788.5,873.0,2197.4,664.0,1012.0,1026.0,455.0,2830.0,3515.0,3669.5
2023-02-26,RevenueCenter_1,1498.4,2626.0,573.0,2,26,6,0,0,4697.4,6049.0,6801.22,5224.5,798.0,1505.0,869.0,1087.0,844.0,456.5,4164.0,4452.22,3899.0
2023-02-27,RevenueCenter_1,956.9,1937.8,575.0,2,27,0,0,0,3469.7,4697.4,4115.0,4482.4,1498.4,578.0,1169.0,573.0,908.0,645.9,2626.0,2629.0,2667.5
2023-02-28,RevenueCenter_1,1214.0,3393.5,523.0,2,28,1,0,0,5130.5,3469.7,5030.5,4919.0,956.9,1040.0,1062.0,575.0,965.0,1016.0,1937.8,3025.5,2841.0
2023-03-01,RevenueCenter_1,765.0,3483.0,451.0,3,1,2,0,0,4699.0,5130.5,4673.0,3717.9,1214.0,1319.0,187.4,523.0,785.0,510.0,3393.5,2569.0,3020.5
2023-03-02,RevenueCenter_1,88.0,2094.0,381.0,3,2,3,0,0,2563.0,4699.0,3878.0,5091.0,765.0,766.0,473.0,451.0,259.0,250.0,3483.0,2853.0,4368.0
2023-03-03,RevenueCenter_1,50.0,2592.0,345.0,3,3,4,1,0,2987.0,2563.0,4715.0,2417.5,88.0,873.0,612.0,381.0,1012.0,278.0,2094.0,2830.0,1527.5
2023-03-04,RevenueCenter_1,275.0,1927.5,674.8,3,4,5,1,0,2877.3,2987.0,6049.0,4010.5,50.0,798.0,223.0,345.0,1087.0,938.5,2592.0,4164.0,2849.0
2023-03-05,RevenueCenter_1,839.0,4099.5,632.1,3,5,6,0,0,5570.6,2877.3,4697.4,3429.0,275.0,1498.4,968.0,674.8,573.0,565.0,1927.5,2626.0,1896.0
2023-03-06,RevenueCenter_1,766.0,2249.5,385.0,3,6,0,0,0,3400.5,5570.6,3469.7,4927.0,839.0,956.9,1994.0,632.1,575.0,247.0,4099.5,1937.8,2686.0
2023-03-07,RevenueCenter_1,486.0,3413.5,728.0,3,7,1,0,0,4627.5,3400.5,5130.5,2921.9,766.0,1214.0,886.4,385.0,523.0,569.5,2249.5,3393.5,1466.0
2023-03-08,RevenueCenter_1,187.0,2141.0,693.0,3,8,2,0,0,3021.0,4627.5,4699.0,3627.4,486.0,765.0,1550.4,728.0,451.0,125.0,3413.5,3483.0,1952.0
2023-03-09,RevenueCenter_1,804.0,3054.0,529.7,3,9,3,0,0,4387.7,3021.0,2563.0,6420.4,187.0,88.0,1751.4,693.0,381.0,969.0,2141.0,2094.0,3700.0
2023-03-10,RevenueCenter_1,956.0,1376.0,638.0,3,10,4,1,0,2970.0,4387.7,2987.0,2676.0,804.0,50.0,745.0,529.7,345.0,258.0,3054.0,2592.0,1673.0
2023-03-11,RevenueCenter_1,241.0,1807.0,1087.4,3,11,5,1,0,3135.4,2970.0,2877.3,5000.4,956.0,275.0,825.0,638.0,674.8,801.0,1376.0,1927.5,3374.4
2023-03-12,RevenueCenter_1,458.0,1834.0,675.0,3,12,6,0,0,2967.0,3135.4,5570.6,3585.5,241.0,839.0,456.0,1087.4,632.1,570.5,1807.0,4099.5,2559.0
2023-03-13,RevenueCenter_1,342.0,1895.5,1103.0,3,13,0,0,0,3340.5,2967.0,3400.5,4399.5,458.0,766.0,1229.0,675.0,385.0,973.5,1834.0,2249.5,2197.0
2023-03-14,RevenueCenter_1,222.0,2555.5,260.0,3,14,1,0,0,3037.5,3340.5,4627.5,6232.0,342.0,486.0,997.0,1103.0,728.0,1196.0,1895.5,3413.5,4039.0
2023-03-15,RevenueCenter_1,364.0,1855.5,174.0,3,15,2,0,0,2393.5,3037.5,3021.0,4956.0,222.0,187.0,924.0,260.0,693.0,282.0,2555.5,2141.0,3750.0
2023-03-16,RevenueCenter_1,274.5,2499.0,390.0,3,16,3,0,0,3163.5,2393.5,4387.7,5022.4,364.0,804.0,340.4,174.0,529.7,526.0,1855.5,3054.0,4156.0
2023-03-17,RevenueCenter_1,1188.0,1478.0,503.0,3,17,4,1,0,3169.0,3163.5,2970.0,4179.0,274.5,956.0,432.0,390.0,638.0,1566.0,2499.0,1376.0,2181.0
2023-03-18,RevenueCenter_1,590.0,1493.0,718.0,3,18,5,1,0,2801.0,3169.0,3135.4,6072.5,1188.0,241.0,1215.0,503.0,1087.4,1259.0,1478.0,1807.0,3598.5
2023-03-19,RevenueCenter_1,629.0,1207.0,365.0,3,19,6,0,0,2201.0,2801.0,2967.0,4889.5,590.0,458.0,1749.5,718.0,675.0,689.0,1493.0,1834.0,2451.0
2023-03-20,RevenueCenter_1,356.0,3182.0,252.0,3,20,0,0,0,3790.0,2201.0,3340.5,6738.4,629.0,342.0,2197.4,365.0,1103.0,1026.0,1207.0,1895.5,3515.0
2023-03-21,RevenueCenter_1,449.0,1855.0,325.0,3,21,1,0,0,2629.0,3790.0,3037.5,6801.22,356.0,222.0,1505.0,252.0,260.0,844.0,3182.0,2555.5,4452.22
2023-03-22,RevenueCenter_1,244.0,2154.0,1267.0,3,22,2,0,0,3665.0,2629.0,2393.5,4115.0,449.0,364.0,578.0,325.0,174.0,908.0,1855.0,1855.5,2629.0
2023-03-23,RevenueCenter_1,536.0,2598.0,268.0,3,23,3,0,1,3402.0,3665.0,3163.5,5030.5,244.0,274.5,1040.0,1267.0,390.0,965.0,2154.0,2499.0,3025.5
2023-03-24,RevenueCenter_1,344.0,1580.0,310.0,3,24,4,1,0,2234.0,3402.0,3169.0,4673.0,536.0,1188.0,1319.0,268.0,503.0,785.0,2598.0,1478.0,2569.0
2023-03-25,RevenueCenter_1,100.0,1319.0,375.0,3,25,5,1,0,1794.0,2234.0,2801.0,3878.0,344.0,590.0,766.0,310.0,718.0,259.0,1580.0,1493.0,2853.0
2023-03-26,RevenueCenter_1,604.0,1374.0,539.0,3,26,6,0,0,2517.0,1794.0,2201.0,4715.0,100.0,629.0,873.0,375.0,365.0,1012.0,1319.0,1207.0,2830.0
2023-03-27,RevenueCenter_1,262.0,1131.0,371.0,3,27,0,0,0,1764.0,2517.0,3790.0,6049.0,604.0,356.0,798.0,539.0,252.0,1087.0,1374.0,3182.0,4164.0
2023-03-28,RevenueCenter_1,519.0,1767.0,339.0,3,28,1,0,0,2625.0,1764.0,2629.0,4697.4,262.0,449.0,1498.4,371.0,325.0,573.0,1131.0,1855.0,2626.0
2023-03-29,RevenueCenter_1,305.0,748.0,190.0,3,29,2,0,0,1243.0,2625.0,3665.0,3469.7,519.0,244.0,956.9,339.0,1267.0,575.0,1767.0,2154.0,1937.8
2023-03-30,RevenueCenter_1,92.0,1161.5,0.0,3,30,3,0,0,1253.5,1243.0,3402.0,5130.5,305.0,536.0,1214.0,190.0,268.0,523.0,748.0,2598.0,3393.5
2023-03-31,RevenueCenter_1,160.0,1642.0,341.0,3,31,4,1,0,2143.0,1253.5,2234.0,4699.0,92.0,344.0,765.0,0.0,310.0,451.0,1161.5,1580.0,3483.0
2023-04-01,RevenueCenter_1,407.0,479.0,0.0,4,1,5,1,0,886.0,2143.0,1794.0,2563.0,160.0,100.0,88.0,341.0,375.0,381.0,1642.0,1319.0,2094.0
2023-04-02,RevenueCenter_1,297.0,1384.0,390.0,4,2,6,0,0,2071.0,886.0,2517.0,2987.0,407.0,604.0,50.0,0.0,539.0,345.0,479.0,1374.0,2592.0
2023-04-03,RevenueCenter_1,0.0,1890.5,429.0,4,3,0,0,0,2319.5,2071.0,1764.0,2877.3,297.0,262.0,275.0,390.0,371.0,674.8,1384.0,1131.0,1927.5
2023-04-04,RevenueCenter_1,45.0,1224.0,499.0,4,4,1,0,0,1768.0,2319.5,2625.0,5570.6,0.0,519.0,839.0,429.0,339.0,632.1,1890.5,1767.0,4099.5
2023-04-05,RevenueCenter_1,266.0,1321.0,1647.0,4,5,2,0,0,3234.0,1768.0,1243.0,3400.5,45.0,305.0,766.0,499.0,190.0,385.0,1224.0,748.0,2249.5
2023-04-06,RevenueCenter_1,1094.0,1858.0,703.0,4,6,3,0,0,3655.0,3234.0,1253.5,4627.5,266.0,92.0,486.0,1647.0,0.0,728.0,1321.0,1161.5,3413.5
2023-04-07,RevenueCenter_1,554.0,2188.5,1223.0,4,7,4,1,0,3965.5,3655.0,2143.0,3021.0,1094.0,160.0,187.0,703.0,341.0,693.0,1858.0,1642.0,2141.0
2023-04-08,RevenueCenter_1,414.0,636.0,605.0,4,8,5,1,0,1655.0,3965.5,886.0,4387.7,554.0,407.0,804.0,1223.0,0.0,529.7,2188.5,479.0,3054.0
2023-04-09,RevenueCenter_1,101.0,1853.0,339.0,4,9,6,0,0,2293.0,1655.0,2071.0,2970.0,414.0,297.0,956.0,605.0,390.0,638.0,636.0,1384.0,1376.0
2023-04-10,RevenueCenter_1,857.0,2563.5,1658.0,4,10,0,0,0,5078.5,2293.0,2319.5,3135.4,101.0,0.0,241.0,339.0,429.0,1087.4,1853.0,1890.5,1807.0
2023-04-11,RevenueCenter_1,114.0,365.5,970.0,4,11,1,0,0,1449.5,5078.5,1768.0,2967.0,857.0,45.0,458.0,1658.0,499.0,675.0,2563.5,1224.0,1834.0
2023-04-12,RevenueCenter_1,248.0,1099.0,579.0,4,12,2,0,0,1926.0,1449.5,3234.0,3340.5,114.0,266.0,342.0,970.0,1647.0,1103.0,365.5,1321.0,1895.5
2023-04-13,RevenueCenter_1,782.0,1391.5,302.5,4,13,3,0,0,2476.0,1926.0,3655.0,3037.5,248.0,1094.0,222.0,579.0,703.0,260.0,1099.0,1858.0,2555.5
2023-04-14,RevenueCenter_1,557.0,436.0,711.75,4,14,4,1,0,1704.75,2476.0,3965.5,2393.5,782.0,554.0,364.0,302.5,1223.0,174.0,1391.5,2188.5,1855.5
2023-04-15,RevenueCenter_1,580.0,1337.0,85.0,4,15,5,1,0,2002.0,1704.75,1655.0,3163.5,557.0,414.0,274.5,711.75,605.0,390.0,436.0,636.0,2499.0
2023-04-16,RevenueCenter_1,251.0,1929.5,140.0,4,16,6,0,0,2320.5,2002.0,2293.0,3169.0,580.0,101.0,1188.0,85.0,339.0,503.0,1337.0,1853.0,1478.0
2023-04-17,RevenueCenter_1,436.0,1175.0,599.0,4,17,0,0,0,2210.0,2320.5,5078.5,2801.0,251.0,857.0,590.0,140.0,1658.0,718.0,1929.5,2563.5,1493.0
2023-04-18,RevenueCenter_1,364.0,1843.5,234.0,4,18,1,0,0,2441.5,2210.0,1449.5,2201.0,436.0,114.0,629.0,599.0,970.0,365.0,1175.0,365.5,1207.0
2023-04-19,RevenueCenter_1,324.0,1780.0,415.0,4,19,2,0,0,2519.0,2441.5,1926.0,3790.0,364.0,248.0,356.0,234.0,579.0,252.0,1843.5,1099.0,3182.0
2023-04-20,RevenueCenter_1,753.0,3090.0,235.0,4,20,3,0,1,4078.0,2519.0,2476.0,2629.0,324.0,782.0,449.0,415.0,302.5,325.0,1780.0,1391.5,1855.0
2023-04-21,RevenueCenter_1,408.0,2223.0,204.0,4,21,4,1,1,2835.0,4078.0,1704.75,3665.0,753.0,557.0,244.0,235.0,711.75,1267.0,3090.0,436.0,2154.0
2023-04-22,RevenueCenter_1,544.0,3381.0,237.0,4,22,5,1,1,4162.0,2835.0,2002.0,3402.0,408.0,580.0,536.0,204.0,85.0,268.0,2223.0,1337.0,2598.0
2023-04-23,RevenueCenter_1,518.0,2107.0,597.0,4,23,6,0,1,3222.0,4162.0,2320.5,2234.0,544.0,251.0,344.0,237.0,140.0,310.0,3381.0,1929.5,1580.0
2023-04-24,RevenueCenter_1,1381.0,2465.0,995.0,4,24,0,0,0,4841.0,3222.0,2210.0,1794.0,518.0,436.0,100.0,597.0,599.0,375.0,2107.0,1175.0,1319.0
2023-04-25,RevenueCenter_1,1355.25,5089.0,523.0,4,25,1,0,0,6967.25,4841.0,2441.5,2517.0,1381.0,364.0,604.0,995.0,234.0,539.0,2465.0,1843.5,1374.0
2023-04-26,RevenueCenter_1,492.0,2940.0,740.0,4,26,2,0,0,4172.0,6967.25,2519.0,1764.0,1355.25,324.0,262.0,523.0,415.0,371.0,5089.0,1780.0,1131.0
2023-04-27,RevenueCenter_1,1340.0,4883.0,1345.0,4,27,3,0,0,7568.0,4172.0,4078.0,2625.0,492.0,753.0,519.0,740.0,235.0,339.0,2940.0,3090.0,1767.0
2023-04-28,RevenueCenter_1,1238.75,2828.0,264.0,4,28,4,1,0,4330.75,7568.0,2835.0,1243.0,1340.0,408.0,305.0,1345.0,204.0,190.0,4883.0,2223.0,748.0
2023-04-29,RevenueCenter_1,1059.5,2706.0,382.0,4,29,5,1,0,4147.5,4330.75,4162.0,1253.5,1238.75,544.0,92.0,264.0,237.0,0.0,2828.0,3381.0,1161.5
2023-04-30,RevenueCenter_1,649.0,3242.0,450.0,4,30,6,0,0,4341.0,4147.5,3222.0,2143.0,1059.5,518.0,160.0,382.0,597.0,341.0,2706.0,2107.0,1642.0
2023-05-01,RevenueCenter_1,497.0,1182.0,40.0,5,1,0,0,0,1719.0,4341.0,4841.0,886.0,649.0,1381.0,407.0,450.0,995.0,0.0,3242.0,2465.0,479.0
2023-05-02,RevenueCenter_1,247.9,2688.5,430.0,5,2,1,0,0,3366.4,1719.0,6967.25,2071.0,497.0,1355.25,297.0,40.0,523.0,390.0,1182.0,5089.0,1384.0
2023-05-03,RevenueCenter_1,477.9,1379.0,55.0,5,3,2,0,0,1911.9,3366.4,4172.0,2319.5,247.9,492.0,0.0,430.0,740.0,429.0,2688.5,2940.0,1890.5
2023-05-04,RevenueCenter_1,554.0,2907.0,639.0,5,4,3,0,0,4100.0,1911.9,7568.0,1768.0,477.9,1340.0,45.0,55.0,1345.0,499.0,1379.0,4883.0,1224.0
2023-05-05,RevenueCenter_1,337.0,2104.75,676.0,5,5,4,1,0,3117.75,4100.0,4330.75,3234.0,554.0,1238.75,266.0,639.0,264.0,1647.0,2907.0,2828.0,1321.0
2023-05-06,RevenueCenter_1,981.0,953.5,743.0,5,6,5,1,0,2677.5,3117.75,4147.5,3655.0,337.0,1059.5,1094.0,676.0,382.0,703.0,2104.75,2706.0,1858.0
2023-05-07,RevenueCenter_1,702.5,3071.0,108.0,5,7,6,0,0,3881.5,2677.5,4341.0,3965.5,981.0,649.0,554.0,743.0,450.0,1223.0,953.5,3242.0,2188.5
2023-05-08,RevenueCenter_1,1199.0,3662.5,316.0,5,8,0,0,0,5177.5,3881.5,1719.0,1655.0,702.5,497.0,414.0,108.0,40.0,605.0,3071.0,1182.0,636.0
2023-05-09,RevenueCenter_1,244.0,3249.0,899.0,5,9,1,0,0,4392.0,5177.5,3366.4,2293.0,1199.0,247.9,101.0,316.0,430.0,339.0,3662.5,2688.5,1853.0
2023-05-10,RevenueCenter_1,362.0,2664.5,420.0,5,10,2,0,0,3446.5,4392.0,1911.9,5078.5,244.0,477.9,857.0,899.0,55.0,1658.0,3249.0,1379.0,2563.5
2023-05-11,RevenueCenter_1,648.0,2341.0,626.0,5,11,3,0,0,3615.0,3446.5,4100.0,1449.5,362.0,554.0,114.0,420.0,639.0,970.0,2664.5,2907.0,365.5
2023-05-12,RevenueCenter_1,812.0,2505.0,353.0,5,12,4,1,0,3670.0,3615.0,3117.75,1926.0,648.0,337.0,248.0,626.0,676.0,579.0,2341.0,2104.75,1099.0
2023-05-13,RevenueCenter_1,303.0,2667.5,619.0,5,13,5,1,0,3589.5,3670.0,2677.5,2476.0,812.0,981.0,782.0,353.0,743.0,302.5,2505.0,953.5,1391.5
2023-05-14,RevenueCenter_1,522.0,2310.0,630.9,5,14,6,0,0,3462.9,3589.5,3881.5,1704.75,303.0,702.5,557.0,619.0,108.0,711.75,2667.5,3071.0,436.0
2023-05-15,RevenueCenter_1,1574.0,2294.9,364.0,5,15,0,0,0,4232.9,3462.9,5177.5,2002.0,522.0,1199.0,580.0,630.9,316.0,85.0,2310.0,3662.5,1337.0
2023-05-16,RevenueCenter_1,322.9,4976.0,616.0,5,16,1,0,0,5914.9,4232.9,4392.0,2320.5,1574.0,244.0,251.0,364.0,899.0,140.0,2294.9,3249.0,1929.5
2023-05-17,RevenueCenter_1,1451.0,2361.0,472.0,5,17,2,0,0,4284.0,5914.9,3446.5,2210.0,322.9,362.0,436.0,616.0,420.0,599.0,4976.0,2664.5,1175.0
2023-05-18,RevenueCenter_1,114.0,2945.5,190.0,5,18,3,0,0,3249.5,4284.0,3615.0,2441.5,1451.0,648.0,364.0,472.0,626.0,234.0,2361.0,2341.0,1843.5
2023-05-19,RevenueCenter_1,746.0,1102.5,598.0,5,19,4,1,0,2446.5,3249.5,3670.0,2519.0,114.0,812.0,324.0,190.0,353.0,415.0,2945.5,2505.0,1780.0
2023-05-20,RevenueCenter_1,635.0,1838.0,750.0,5,20,5,1,0,3223.0,2446.5,3589.5,4078.0,746.0,303.0,753.0,598.0,619.0,235.0,1102.5,2667.5,3090.0
2023-05-21,RevenueCenter_1,154.0,1268.0,303.0,5,21,6,0,0,1725.0,3223.0,3462.9,2835.0,635.0,522.0,408.0,750.0,630.9,204.0,1838.0,2310.0,2223.0
2023-05-22,RevenueCenter_1,690.0,1920.0,739.0,5,22,0,0,0,3349.0,1725.0,4232.9,4162.0,154.0,1574.0,544.0,303.0,364.0,237.0,1268.0,2294.9,3381.0
2023-05-23,RevenueCenter_1,1289.0,2431.0,183.0,5,23,1,0,0,3903.0,3349.0,5914.9,3222.0,690.0,322.9,518.0,739.0,616.0,597.0,1920.0,4976.0,2107.0
2023-05-24,RevenueCenter_1,276.0,2028.0,641.0,5,24,2,0,0,2945.0,3903.0,4284.0,4841.0,1289.0,1451.0,1381.0,183.0,472.0,995.0,2431.0,2361.0,2465.0
2023-05-25,RevenueCenter_1,718.0,2135.0,575.0,5,25,3,0,0,3428.0,2945.0,3249.5,6967.25,276.0,114.0,1355.25,641.0,190.0,523.0,2028.0,2945.5,5089.0
2023-05-26,RevenueCenter_1,928.0,1703.0,40.0,5,26,4,1,0,2671.0,3428.0,2446.5,4172.0,718.0,746.0,492.0,575.0,598.0,740.0,2135.0,1102.5,2940.0
2023-05-27,RevenueCenter_1,409.0,1189.0,287.5,5,27,5,1,0,1885.5,2671.0,3223.0,7568.0,928.0,635.0,1340.0,40.0,750.0,1345.0,1703.0,1838.0,4883.0
2023-05-28,RevenueCenter_1,1116.0,1198.0,187.0,5,28,6,0,0,2501.0,1885.5,1725.0,4330.75,409.0,154.0,1238.75,287.5,303.0,264.0,1189.0,1268.0,2828.0
2023-05-29,RevenueCenter_1,366.0,1905.5,691.0,5,29,0,0,0,2962.5,2501.0,3349.0,4147.5,1116.0,690.0,1059.5,187.0,739.0,382.0,1198.0,1920.0,2706.0
2023-05-30,RevenueCenter_1,915.0,3977.5,796.0,5,30,1,0,0,5688.5,2962.5,3903.0,4341.0,366.0,1289.0,649.0,691.0,183.0,450.0,1905.5,2431.0,3242.0
2023-05-31,RevenueCenter_1,1055.0,1914.0,1110.0,5,31,2,0,0,4079.0,5688.5,2945.0,1719.0,915.0,276.0,497.0,796.0,641.0,40.0,3977.5,2028.0,1182.0
2023-06-01,RevenueCenter_1,827.0,3296.0,236.5,6,1,3,0,0,4359.5,4079.0,3428.0,3366.4,1055.0,718.0,247.9,1110.0,575.0,430.0,1914.0,2135.0,2688.5
2023-06-02,RevenueCenter_1,176.0,2026.0,782.0,6,2,4,1,0,2984.0,4359.5,2671.0,1911.9,827.0,928.0,477.9,236.5,40.0,55.0,3296.0,1703.0,1379.0
2023-06-03,RevenueCenter_1,682.0,1797.0,598.0,6,3,5,1,0,3077.0,2984.0,1885.5,4100.0,176.0,409.0,554.0,782.0,287.5,639.0,2026.0,1189.0,2907.0
2023-06-04,RevenueCenter_1,879.0,1697.5,960.0,6,4,6,0,0,3536.5,3077.0,2501.0,3117.75,682.0,1116.0,337.0,598.0,187.0,676.0,1797.0,1198.0,2104.75
2023-06-05,RevenueCenter_1,964.0,1434.0,377.0,6,5,0,0,0,2775.0,3536.5,2962.5,2677.5,879.0,366.0,981.0,960.0,691.0,743.0,1697.5,1905.5,953.5
2023-06-06,RevenueCenter_1,875.0,1905.0,632.0,6,6,1,0,0,3412.0,2775.0,5688.5,3881.5,964.0,915.0,702.5,377.0,796.0,108.0,1434.0,3977.5,3071.0
2023-06-07,RevenueCenter_1,406.0,3526.5,460.0,6,7,2,0,0,4392.5,3412.0,4079.0,5177.5,875.0,1055.0,1199.0,632.0,1110.0,316.0,1905.0,1914.0,3662.5
2023-06-08,RevenueCenter_1,372.0,3886.5,677.0,6,8,3,0,0,4935.5,4392.5,4359.5,4392.0,406.0,827.0,244.0,460.0,236.5,899.0,3526.5,3296.0,3249.0
2023-06-09,RevenueCenter_1,773.0,2106.0,552.0,6,9,4,1,0,3431.0,4935.5,2984.0,3446.5,372.0,176.0,362.0,677.0,782.0,420.0,3886.5,2026.0,2664.5
2023-06-10,RevenueCenter_1,147.0,2300.0,471.0,6,10,5,1,0,2918.0,3431.0,3077.0,3615.0,773.0,682.0,648.0,552.0,598.0,626.0,2106.0,1797.0,2341.0
2023-06-11,RevenueCenter_1,473.0,2043.0,592.0,6,11,6,0,0,3108.0,2918.0,3536.5,3670.0,147.0,879.0,812.0,471.0,960.0,353.0,2300.0,1697.5,2505.0
2023-06-12,RevenueCenter_1,466.0,1706.0,295.0,6,12,0,0,0,2467.0,3108.0,2775.0,3589.5,473.0,964.0,303.0,592.0,377.0,619.0,2043.0,1434.0,2667.5
2023-06-13,RevenueCenter_1,702.0,997.0,595.0,6,13,1,0,0,2294.0,2467.0,3412.0,3462.9,466.0,875.0,522.0,295.0,632.0,630.9,1706.0,1905.0,2310.0
2023-06-14,RevenueCenter_1,390.0,2069.5,770.0,6,14,2,0,0,3229.5,2294.0,4392.5,4232.9,702.0,406.0,1574.0,595.0,460.0,364.0,997.0,3526.5,2294.9
2023-06-15,RevenueCenter_1,276.0,2869.0,754.0,6,15,3,0,0,3899.0,3229.5,4935.5,5914.9,390.0,372.0,322.9,770.0,677.0,616.0,2069.5,3886.5,4976.0
