Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,BreakFast,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m
2023-08-09,RevenueCenter_1,8,2,0,0,1109.0,482.0,520.0,604.0
2023-08-10,RevenueCenter_1,8,3,0,0,711.5,1109.0,392.0,90.0
2023-08-11,RevenueCenter_1,8,4,1,0,1186.0,711.5,305.0,1018.0
2023-08-12,RevenueCenter_1,8,5,1,0,795.0,1186.0,502.0,334.5
2023-08-13,RevenueCenter_1,8,6,0,0,352.0,795.0,836.0,315.0
2023-08-14,RevenueCenter_1,8,0,0,0,611.0,352.0,689.0,1271.0
2023-08-15,RevenueCenter_1,8,1,0,0,332.0,611.0,482.0,644.0
2023-08-16,RevenueCenter_1,8,2,0,0,615.0,332.0,1109.0,773.0
2023-08-17,RevenueCenter_1,8,3,0,0,680.0,615.0,711.5,204.0
2023-08-18,RevenueCenter_1,8,4,1,0,508.4,680.0,1186.0,136.0
2023-08-19,RevenueCenter_1,8,5,1,0,827.0,508.4,795.0,738.9
2023-08-20,RevenueCenter_1,8,6,0,0,449.0,827.0,352.0,1301.9
2023-08-21,RevenueCenter_1,8,0,0,0,516.0,449.0,611.0,536.5
2023-08-22,RevenueCenter_1,8,1,0,0,481.4,516.0,332.0,1187.0
2023-08-23,RevenueCenter_1,8,2,0,0,619.4,481.4,615.0,172.0
2023-08-24,RevenueCenter_1,8,3,0,0,1158.3,619.4,680.0,297.0
2023-08-25,RevenueCenter_1,8,4,1,0,477.0,1158.3,508.4,852.0
2023-08-26,RevenueCenter_1,8,5,1,0,437.9,477.0,827.0,170.0
2023-08-27,RevenueCenter_1,8,6,0,0,798.9,437.9,449.0,870.4
2023-08-28,RevenueCenter_1,8,0,0,0,494.0,798.9,516.0,621.0
2023-08-29,RevenueCenter_1,8,1,0,0,570.0,494.0,481.4,959.0
2023-08-30,RevenueCenter_1,8,2,0,0,544.0,570.0,619.4,553.0
2023-08-31,RevenueCenter_1,8,3,0,0,470.0,544.0,1158.3,749.0
2023-09-01,RevenueCenter_1,9,4,1,0,552.0,470.0,477.0,520.0
2023-09-02,RevenueCenter_1,9,5,1,0,1027.0,552.0,437.9,392.0
2023-09-03,RevenueCenter_1,9,6,0,0,569.0,1027.0,798.9,305.0
2023-09-04,RevenueCenter_1,9,0,0,0,364.0,569.0,494.0,502.0
2023-09-05,RevenueCenter_1,9,1,0,0,219.0,364.0,570.0,836.0
2023-09-06,RevenueCenter_1,9,2,0,0,484.0,219.0,544.0,689.0
2023-09-07,RevenueCenter_1,9,3,0,0,502.0,484.0,470.0,482.0
2023-09-08,RevenueCenter_1,9,4,1,0,917.0,502.0,552.0,1109.0
2023-09-09,RevenueCenter_1,9,5,1,0,527.0,917.0,1027.0,711.5
2023-09-10,RevenueCenter_1,9,6,0,0,724.0,527.0,569.0,1186.0
2023-09-11,RevenueCenter_1,9,0,0,0,1720.5,724.0,364.0,795.0
2023-09-12,RevenueCenter_1,9,1,0,0,1088.5,1720.5,219.0,352.0
2023-09-13,RevenueCenter_1,9,2,0,0,96.0,1088.5,484.0,611.0
2023-09-14,RevenueCenter_1,9,3,0,0,807.6,96.0,502.0,332.0
2023-09-15,RevenueCenter_1,9,4,1,0,862.0,807.6,917.0,615.0
2023-09-16,RevenueCenter_1,9,5,1,0,997.0,862.0,527.0,680.0
2023-09-17,RevenueCenter_1,9,6,0,0,633.5,997.0,724.0,508.4
2023-09-18,RevenueCenter_1,9,0,0,0,1110.0,633.5,1720.5,827.0
2023-09-19,RevenueCenter_1,9,1,0,0,345.0,1110.0,1088.5,449.0
2023-09-20,RevenueCenter_1,9,2,0,0,1576.0,345.0,96.0,516.0
2023-09-21,RevenueCenter_1,9,3,0,0,168.0,1576.0,807.6,481.4
2023-09-22,RevenueCenter_1,9,4,1,0,640.9,168.0,862.0,619.4
2023-09-23,RevenueCenter_1,9,5,1,0,2310.46,640.9,997.0,1158.3
2023-09-24,RevenueCenter_1,9,6,0,0,1256.0,2310.46,633.5,477.0
2023-09-25,RevenueCenter_1,9,0,0,0,1923.4,1256.0,1110.0,437.9
2023-09-26,RevenueCenter_1,9,1,0,0,132.0,1923.4,345.0,798.9
2023-09-27,RevenueCenter_1,9,2,0,0,260.0,132.0,1576.0,494.0
2023-09-28,RevenueCenter_1,9,3,0,0,1227.4,260.0,168.0,570.0
2023-09-29,RevenueCenter_1,9,4,1,0,506.0,1227.4,640.9,544.0
2023-09-30,RevenueCenter_1,9,5,1,0,1058.0,506.0,2310.46,470.0
