Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Lunch,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m
2023-05-20,RevenueCenter_1,5,5,1,0,750.0,598.0,619.0,235.0
2023-05-21,RevenueCenter_1,5,6,0,0,303.0,750.0,630.9,204.0
2023-05-22,RevenueCenter_1,5,0,0,0,739.0,303.0,364.0,237.0
2023-05-23,RevenueCenter_1,5,1,0,0,183.0,739.0,616.0,597.0
2023-05-24,RevenueCenter_1,5,2,0,0,641.0,183.0,472.0,995.0
2023-05-25,RevenueCenter_1,5,3,0,0,575.0,641.0,190.0,523.0
2023-05-26,RevenueCenter_1,5,4,1,0,40.0,575.0,598.0,740.0
2023-05-27,RevenueCenter_1,5,5,1,0,287.5,40.0,750.0,1345.0
2023-05-28,RevenueCenter_1,5,6,0,0,187.0,287.5,303.0,264.0
2023-05-29,RevenueCenter_1,5,0,0,0,691.0,187.0,739.0,382.0
2023-05-30,RevenueCenter_1,5,1,0,0,796.0,691.0,183.0,450.0
2023-05-31,RevenueCenter_1,5,2,0,0,1110.0,796.0,641.0,40.0
2023-06-01,RevenueCenter_1,6,3,0,0,236.5,1110.0,575.0,430.0
2023-06-02,RevenueCenter_1,6,4,1,0,782.0,236.5,40.0,55.0
2023-06-03,RevenueCenter_1,6,5,1,0,598.0,782.0,287.5,639.0
2023-06-04,RevenueCenter_1,6,6,0,0,960.0,598.0,187.0,676.0
2023-06-05,RevenueCenter_1,6,0,0,0,377.0,960.0,691.0,743.0
2023-06-06,RevenueCenter_1,6,1,0,0,632.0,377.0,796.0,108.0
2023-06-07,RevenueCenter_1,6,2,0,0,460.0,632.0,1110.0,316.0
2023-06-08,RevenueCenter_1,6,3,0,0,677.0,460.0,236.5,899.0
2023-06-09,RevenueCenter_1,6,4,1,0,552.0,677.0,782.0,420.0
2023-06-10,RevenueCenter_1,6,5,1,0,471.0,552.0,598.0,626.0
2023-06-11,RevenueCenter_1,6,6,0,0,592.0,471.0,960.0,353.0
2023-06-12,RevenueCenter_1,6,0,0,0,295.0,592.0,377.0,619.0
2023-06-13,RevenueCenter_1,6,1,0,0,595.0,295.0,632.0,630.9
2023-06-14,RevenueCenter_1,6,2,0,0,770.0,595.0,460.0,364.0
2023-06-15,RevenueCenter_1,6,3,0,0,754.0,770.0,677.0,616.0
2023-06-16,RevenueCenter_1,6,4,1,0,723.0,754.0,552.0,472.0
2023-06-17,RevenueCenter_1,6,5,1,0,40.0,723.0,471.0,190.0
2023-06-18,RevenueCenter_1,6,6,0,0,877.0,40.0,592.0,598.0
2023-06-19,RevenueCenter_1,6,0,0,0,259.5,877.0,295.0,750.0
2023-06-20,RevenueCenter_1,6,1,0,1,498.0,259.5,595.0,303.0
2023-06-21,RevenueCenter_1,6,2,0,0,849.0,498.0,770.0,739.0
2023-06-22,RevenueCenter_1,6,3,0,0,1073.0,849.0,754.0,183.0
2023-06-23,RevenueCenter_1,6,4,1,0,919.0,1073.0,723.0,641.0
2023-06-24,RevenueCenter_1,6,5,1,0,949.0,919.0,40.0,575.0
2023-06-25,RevenueCenter_1,6,6,0,0,565.0,949.0,877.0,40.0
2023-06-26,RevenueCenter_1,6,0,0,0,1049.0,565.0,259.5,287.5
2023-06-27,RevenueCenter_1,6,1,0,0,499.0,1049.0,498.0,187.0
2023-06-28,RevenueCenter_1,6,2,0,1,921.0,499.0,849.0,691.0
2023-06-29,RevenueCenter_1,6,3,0,1,880.0,921.0,1073.0,796.0
2023-06-30,RevenueCenter_1,6,4,1,1,379.0,880.0,919.0,1110.0
2023-07-01,RevenueCenter_1,7,5,1,0,1214.0,379.0,949.0,236.5
2023-07-02,RevenueCenter_1,7,6,0,0,879.0,1214.0,565.0,782.0
2023-07-03,RevenueCenter_1,7,0,0,0,696.0,879.0,1049.0,598.0
2023-07-04,RevenueCenter_1,7,1,0,0,931.0,696.0,499.0,960.0
2023-07-05,RevenueCenter_1,7,2,0,0,818.0,931.0,921.0,377.0
2023-07-06,RevenueCenter_1,7,3,0,0,390.5,818.0,880.0,632.0
2023-07-07,RevenueCenter_1,7,4,1,0,102.0,390.5,379.0,460.0
2023-07-08,RevenueCenter_1,7,5,1,0,1057.5,102.0,1214.0,677.0
2023-07-09,RevenueCenter_1,7,6,0,0,855.0,1057.5,879.0,552.0
2023-07-10,RevenueCenter_1,7,0,0,0,618.0,855.0,696.0,471.0
2023-07-11,RevenueCenter_1,7,1,0,0,853.0,618.0,931.0,592.0
2023-07-12,RevenueCenter_1,7,2,0,0,290.0,853.0,818.0,295.0
2023-07-13,RevenueCenter_1,7,3,0,0,745.0,290.0,390.5,595.0
2023-07-14,RevenueCenter_1,7,4,1,0,764.0,745.0,102.0,770.0
2023-07-15,RevenueCenter_1,7,5,1,0,279.5,764.0,1057.5,754.0
2023-07-16,RevenueCenter_1,7,6,0,0,217.0,279.5,855.0,723.0
2023-07-17,RevenueCenter_1,7,0,0,0,720.0,217.0,618.0,40.0
2023-07-18,RevenueCenter_1,7,1,0,0,627.5,720.0,853.0,877.0
2023-07-19,RevenueCenter_1,7,2,0,0,1624.0,627.5,290.0,259.5
2023-07-20,RevenueCenter_1,7,3,0,0,648.0,1624.0,745.0,498.0
2023-07-21,RevenueCenter_1,7,4,1,0,929.0,648.0,764.0,849.0
2023-07-22,RevenueCenter_1,7,5,1,0,781.0,929.0,279.5,1073.0
2023-07-23,RevenueCenter_1,7,6,0,0,1525.0,781.0,217.0,919.0
2023-07-24,RevenueCenter_1,7,0,0,0,1319.0,1525.0,720.0,949.0
2023-07-25,RevenueCenter_1,7,1,0,0,176.0,1319.0,627.5,565.0
2023-07-26,RevenueCenter_1,7,2,0,0,1175.5,176.0,1624.0,1049.0
2023-07-27,RevenueCenter_1,7,3,0,0,760.0,1175.5,648.0,499.0
2023-07-28,RevenueCenter_1,7,4,1,0,85.5,760.0,929.0,921.0
2023-07-29,RevenueCenter_1,7,5,1,0,915.0,85.5,781.0,880.0
2023-07-30,RevenueCenter_1,7,6,0,0,1241.0,915.0,1525.0,379.0
2023-07-31,RevenueCenter_1,7,0,0,0,1114.0,1241.0,1319.0,1214.0
2023-08-01,RevenueCenter_1,8,1,0,0,319.0,1114.0,176.0,879.0
2023-08-02,RevenueCenter_1,8,2,0,0,380.0,319.0,1175.5,696.0
2023-08-03,RevenueCenter_1,8,3,0,0,429.5,380.0,760.0,931.0
2023-08-04,RevenueCenter_1,8,4,1,0,1962.0,429.5,85.5,818.0
2023-08-05,RevenueCenter_1,8,5,1,0,90.0,1962.0,915.0,390.5
2023-08-06,RevenueCenter_1,8,6,0,0,402.0,90.0,1241.0,102.0
2023-08-07,RevenueCenter_1,8,0,0,0,552.0,402.0,1114.0,1057.5
